|ID           |HAS_VALIDATED|MODIFICATION_DATE      |
|1,210,817,796|0            |2025-02-07 00:20:47.712|
|1,210,822,668|0            |2025-02-07 00:20:47.707|
|1,210,821,963|0            |2025-02-07 00:20:47.600|
|1,210,817,746|0            |2025-02-07 00:20:47.597|
|1,210,818,750|0            |2025-02-07 00:20:47.332|
|1,210,818,718|0            |2025-02-07 00:20:47.239|
|1,210,817,635|0            |2025-02-07 00:20:45.432|
|1,210,817,574|0            |2025-02-07 00:20:45.325|
|1,210,823,262|0            |2025-02-07 00:20:43.906|
|1,210,802,541|0            |2025-02-07 00:20:43.042|
|1,210,818,590|0            |2025-02-07 00:20:41.381|
|1,210,817,798|0            |2025-02-07 00:20:41.263|
|1,210,817,418|0            |2025-02-07 00:20:41.120|
|1,210,817,360|0            |2025-02-07 00:20:40.979|
|1,210,817,301|0            |2025-02-07 00:20:40.869|
|1,210,817,245|0            |2025-02-07 00:20:40.750|
|1,210,817,197|0            |2025-02-07 00:20:40.644|
|1,210,817,145|0            |2025-02-07 00:20:40.530|
|1,210,817,203|0            |2025-02-07 00:20:40.225|
|1,210,817,129|0            |2025-02-07 00:20:40.116|
|1,210,823,223|0            |2025-02-07 00:20:39.725|
|1,210,823,210|0            |2025-02-07 00:20:39.614|
|1,210,817,775|0            |2025-02-07 00:20:38.967|
|1,210,817,762|0            |2025-02-07 00:20:38.858|
|1,210,818,386|0            |2025-02-07 00:20:38.844|
|1,210,818,315|0            |2025-02-07 00:20:38.748|
|1,210,823,183|0            |2025-02-07 00:20:37.477|
|1,210,817,742|0            |2025-02-07 00:20:36.730|
|1,210,816,971|0            |2025-02-07 00:20:36.350|
|1,210,816,916|0            |2025-02-07 00:20:36.240|
|1,210,816,856|0            |2025-02-07 00:20:36.135|
|1,210,821,216|0            |2025-02-07 00:20:35.983|
|1,210,818,138|0            |2025-02-07 00:20:34.594|
|1,210,818,094|0            |2025-02-07 00:20:34.474|
|1,210,816,748|0            |2025-02-07 00:20:33.980|
|1,210,816,850|0            |2025-02-07 00:20:33.913|
|1,210,816,684|0            |2025-02-07 00:20:33.881|
|1,210,819,333|0            |2025-02-07 00:20:33.847|
|1,210,816,634|0            |2025-02-07 00:20:33.779|
|1,210,818,381|0            |2025-02-07 00:20:33.744|
|1,210,816,564|0            |2025-02-07 00:20:33.656|
|1,210,816,511|0            |2025-02-07 00:20:33.534|
|1,210,816,518|0            |2025-02-07 00:20:33.008|
|1,210,817,711|0            |2025-02-07 00:20:32.578|
|1,210,817,703|0            |2025-02-07 00:20:32.471|
|1,210,817,987|0            |2025-02-07 00:20:32.354|
|1,210,817,938|0            |2025-02-07 00:20:32.265|
|1,210,817,892|0            |2025-02-07 00:20:32.166|
|1,210,816,647|0            |2025-02-07 00:20:31.600|
|1,210,822,748|0            |2025-02-07 00:20:30.866|
|1,210,821,837|0            |2025-02-07 00:20:30.763|
|1,210,817,681|0            |2025-02-07 00:20:30.335|
|1,210,817,791|0            |2025-02-07 00:20:30.027|
|1,210,817,738|0            |2025-02-07 00:20:29.935|
|1,210,817,685|0            |2025-02-07 00:20:29.824|
|1,210,816,643|0            |2025-02-07 00:20:29.730|
|1,210,817,630|0            |2025-02-07 00:20:29.723|
|1,210,817,664|0            |2025-02-07 00:20:28.203|
|1,210,816,503|0            |2025-02-07 00:20:27.577|
|1,210,816,427|0            |2025-02-07 00:20:27.466|
|1,210,816,263|0            |2025-02-07 00:20:27.309|
|1,210,816,212|0            |2025-02-07 00:20:27.205|
|1,210,817,468|0            |2025-02-07 00:20:25.545|
|1,210,822,450|0            |2025-02-07 00:20:25.418|
|1,210,816,266|0            |2025-02-07 00:20:25.316|
|1,210,816,098|0            |2025-02-07 00:20:25.059|
|1,210,818,479|0            |2025-02-07 00:20:24.584|
|1,210,817,633|0            |2025-02-07 00:20:24.029|
|1,210,817,623|0            |2025-02-07 00:20:23.923|
|1,210,817,610|0            |2025-02-07 00:20:23.822|
|1,210,820,486|0            |2025-02-07 00:20:23.295|
|1,210,823,009|0            |2025-02-07 00:20:23.149|
|1,210,822,988|0            |2025-02-07 00:20:23.057|
|1,210,822,975|0            |2025-02-07 00:20:22.962|
|1,210,815,982|0            |2025-02-07 00:20:22.919|
|1,210,822,948|0            |2025-02-07 00:20:22.852|
|1,210,822,914|0            |2025-02-07 00:20:22.742|
|1,210,816,921|0            |2025-02-07 00:20:22.455|
|1,210,817,593|0            |2025-02-07 00:20:21.694|
|1,210,817,577|0            |2025-02-07 00:20:21.591|
|1,210,817,292|0            |2025-02-07 00:20:21.406|
|1,210,802,894|0            |2025-02-07 00:20:21.165|
|1,210,816,042|0            |2025-02-07 00:20:21.157|
|1,210,822,892|0            |2025-02-07 00:20:20.577|
|1,210,822,859|0            |2025-02-07 00:20:20.476|
|1,210,815,849|0            |2025-02-07 00:20:20.322|
|1,210,823,993|0            |2025-02-07 00:20:20.215|
|1,210,823,162|0            |2025-02-07 00:20:20.099|
|1,210,822,201|0            |2025-02-07 00:20:19.996|
|1,210,821,367|0            |2025-02-07 00:20:19.889|
|1,210,820,490|0            |2025-02-07 00:20:19.768|
|1,210,817,572|0            |2025-02-07 00:20:19.458|
|1,210,817,545|0            |2025-02-07 00:20:19.347|
|1,210,817,191|0            |2025-02-07 00:20:19.271|
|1,210,817,541|0            |2025-02-07 00:20:19.239|
|1,210,819,284|0            |2025-02-07 00:20:18.995|
|1,210,818,470|0            |2025-02-07 00:20:18.896|
|1,210,823,501|0            |2025-02-07 00:20:18.784|
|1,210,822,834|0            |2025-02-07 00:20:18.358|
|1,210,817,535|0            |2025-02-07 00:20:17.108|
|1,210,823,677|0            |2025-02-07 00:20:16.973|
|1,210,823,700|0            |2025-02-07 00:20:16.701|
|1,210,823,209|0            |2025-02-07 00:20:16.544|
|1,210,822,768|0            |2025-02-07 00:20:16.228|
|1,210,817,689|0            |2025-02-07 00:20:15.574|
|1,210,821,451|0            |2025-02-07 00:20:14.177|
|1,210,822,700|0            |2025-02-07 00:20:14.094|
|1,210,820,489|0            |2025-02-07 00:20:14.060|
|1,210,824,233|0            |2025-02-07 00:20:13.241|
|1,210,823,218|0            |2025-02-07 00:20:13.134|
|1,210,817,514|0            |2025-02-07 00:20:12.939|
|1,210,822,602|0            |2025-02-07 00:20:11.949|
